Satker,Jabatan,Formasi
1100,Kepala BPS Provinsi,1
1100,Kepala Bagian Umum,1
1100,Penata Laksana Barang Mahir,3
1100,Penata Laksana Barang Terampil,1
1100,Analis Pengelola Keuangan APBN Ahli Madya,3
1100,Analis Pengelola Keuangan APBN Ahli Muda,2
1100,Analis Pengelola Keuangan APBN Ahli Pertama,3
1100,Pranata Keuangan APBN Penyelia,1
1100,Pranata Keuangan APBN Mahir,3
1100,Pranata Keuangan APBN Terampil,1
1100,Analis Anggaran Ahli Madya,1
1100,Analis Anggaran Ahli Muda,2
1100,Analis Anggaran Ahli Pertama,2
1100,Analis SDM Aparatur Ahli Muda,3
1100,Analis SDM Aparatur Ahli Pertama,4
1100,Pranata SDM Aparatur Penyelia,2
1100,Pranata SDM Aparatur Mahir,2
1100,Pranata SDM Aparatur Terampil,3
1100,Arsiparis Ahli Madya,1
1100,Arsiparis Ahli Muda,2
1100,Arsiparis Ahli Pertama,3
1100,Arsiparis Terampil,1
1100,Penyuluh Hukum Ahli Muda,1
1100,Penyuluh Hukum Ahli Pertama,1
1100,Pranata Humas Ahli Muda,1
1100,Pustakawan Penyelia,1
1100,Pustakawan Mahir,1
1100,Pustakawan Terampil,1
1100,Pengolah Data,1
1100,Verifikator Keuangan,1
1100,Pengelola Surat,1
1100,Pranata Kearsipan,1
1100,Pengelola Barang Milik Negara,2
1100,Teknisi Pemeliharaan Sarana dan Prasarana,1
1100,Pengemudi,1
1100,Statistisi Ahli Utama,1
1100,Statistisi Ahli Madya,8
1100,Statistisi Ahli Muda,22
1100,Statistisi Ahli Pertama,21
1100,Statistisi Penyelia,3
1100,Statistisi Mahir,5
1100,Statistisi Terampil,2
1100,Pranata Komputer Ahli Madya,5
1100,Pranata Komputer Ahli Muda,7
1100,Pranata Komputer Ahli Pertama,8
1100,Pranata Komputer Penyelia,1
1100,Pranata Komputer Mahir,2
1100,Pranata Komputer Terampil,3
1100,Pengolah Data,5
1100,Sekretaris,1
1101,Kepala BPS Kabupaten/Kota,1
1101,Kepala Subbagian Umum,1
1101,Penata Laksana Barang Terampil,1
1101,Analis Pengelola Keuangan APBN Ahli Muda,1
1101,Analis Pengelola Keuangan APBN Ahli Pertama,1
1101,Pranata Keuangan APBN Mahir,1
1101,Analis Anggaran Ahli Muda,1
1101,Analis Anggaran Ahli Pertama,1
1101,Pustakawan Mahir,1
1101,Pustakawan Terampil,1
1101,Pengolah Data,1
1101,Pranata Kearsipan,1
1101,Pengelola Barang Milik Negara,1
1101,Statistisi Ahli Madya,1
1101,Statistisi Ahli Muda,6
1101,Statistisi Ahli Pertama,10
1101,Pranata Komputer Ahli Madya,1
1101,Pranata Komputer Ahli Muda,2
1101,Pranata Komputer Ahli Pertama,3
1101,Pranata Komputer Penyelia,1
1101,Pranata Komputer Mahir,1
1101,Pranata Komputer Terampil,1
1101,Pengolah Data,6
1102,Kepala BPS Kabupaten/Kota,1
1102,Kepala Subbagian Umum,1
1102,Penata Laksana Barang Terampil,1
1102,Analis Pengelola Keuangan APBN Ahli Muda,1
1102,Pranata Keuangan APBN Terampil,1
1102,Analis Anggaran Ahli Muda,1
1102,Analis Anggaran Ahli Pertama,1
1102,Pustakawan Mahir,1
1102,Pustakawan Terampil,1
1102,Pengolah Data,1
1102,Pranata Kearsipan,1
1102,Pengelola Barang Milik Negara,1
1102,Statistisi Ahli Madya,1
1102,Statistisi Ahli Muda,6
1102,Statistisi Ahli Pertama,10
1102,Statistisi Mahir,2
1102,Statistisi Terampil,3
1102,Pranata Komputer Ahli Madya,1
1102,Pranata Komputer Ahli Muda,2
1102,Pranata Komputer Ahli Pertama,3
