Kode Wilayah,Unit Kerja,Wilayah,Zona
1100,BPS Provinsi Aceh,Prov. Aceh,
1101,BPS Kabupaten Simeulue,Kab. Simeulue,Barat Selatan
1102,BPS Kabupaten Aceh Singkil,Kab. Aceh Singkil,Barat Selatan
1103,BPS Kabupaten Aceh Selatan,Kab. Aceh Selatan,Barat Selatan
1104,BPS Kabupaten Aceh Tenggara,Kab. Aceh Tenggara,Tengah
1105,BPS Kabupaten Aceh Timur,Kab. Aceh Timur,Timur
1106,BPS Kabupaten Aceh Tengah,Kab. Aceh Tengah,Tengah
1107,BPS Kabupaten Aceh Barat,Kab. Aceh Barat,Barat Selatan
1108,BPS Kabupaten Aceh Besar,Kab. Aceh Besar,Timur
1109,BPS Kabupaten Pidie,Kab. Pidie,Timur
1110,BPS Kabupaten Bireuen,Kab. Bireuen,Timur
1111,BPS Kabupaten Aceh Utara,Kab. Aceh Utara,Timur
1112,BPS Kabupaten Aceh Barat Daya,Kab. Aceh Barat Daya,Barat Selatan
1113,BPS Kabupaten Gayo Lues,Kab. Gayo Lues,Tengah
1114,BPS Kabupaten Aceh Tamiang,Kab. Aceh Tamiang,Timur
1115,BPS Kabupaten Nagan Raya,Kab. Nagan Raya,Barat Selatan
1116,BPS Kabupaten Aceh Jaya,Kab. Aceh Jaya,Timur
1117,BPS Kabupaten Bener Meriah,Kab. Bener Meriah,Tengah
1118,BPS Kabupaten Pidie Jaya,Kab. Pidie Jaya,Timur
1171,BPS Kota Banda Aceh,Kota Banda Aceh,Timur
1172,BPS Kota Sabang,Kota Sabang,Timur
1173,BPS Kota Langsa,Kota Langsa,Timur
1174,BPS Kota Lhokseumawe,Kota Lhokseumawe,Timur
1175,BPS Kota Subulussalam,Kota Subulussalam,Barat Selatan
